Tiempo,Heun,RungeKutta4
0.0,0.0,0.0
0.5,-4.8448524375,-4.865266286984983
1.0,-9.459208816568182,-9.501263695379707
1.5,-13.656322146894873,-13.719992493783971
2.0,-17.318143740436142,-17.401153996808226
2.5,-20.39968433798164,-20.497397047509914
3.0,-22.91593704842985,-23.022208572190948
3.5,-24.921086804182867,-25.029542992685357
4.0,-26.48843464594456,-26.59355702498812
4.5,-27.695373969928806,-27.793094741738276
5.0,-28.61419703556164,-28.702015574217402
5.5,-29.30764040653068,-29.38442676646295
6.0,-29.82758638980277,-29.89324860073672
6.5,-30.21554796923122,-30.27068713269187
7.0,-30.503980059609678,-30.549597550495424
7.5,-30.717839860202353,-30.755117751433744
8.0,-30.876091769488603,-30.906243536282844
8.5,-30.993022525801823,-31.01720097880085
9.0,-31.079327540583115,-31.09857487215504
9.5,-31.142977002410376,-31.158203514915705
10.0,-31.189890356287037,-31.201871362465504
10.5,-31.22445315436508,-31.2338364613874
11.0,-31.249908667072674,-31.257227490657723
11.5,-31.26865222835071,-31.274340226145647
12.0,-31.282451201386245,-31.28685762406795
12.5,-31.292608676471616,-31.29601252110143
13.0,-31.300084926202608,-31.302707550463033
13.5,-31.30558732018084,-31.307603331374484
14.0,-31.30963678263882,-31.311183222896734
14.5,-31.31261685452937,-31.313800814971867
15.0,-31.314809882080663,-31.315714729417852
