Tiempo,Heun,RungeKutta4
0.0,100.0,100.0
1.0,157.06047213125,158.85083549592883
2.0,245.15634969957384,250.56668864210894
3.0,379.0350037541716,390.96417624586985
4.0,577.639943261296,600.0974553457306
5.0,861.842345747198,899.2863307107586
6.0,1247.9289827970345,1303.4704093672385
7.0,1736.2605383722648,1809.1904631822408
8.0,2299.890580644478,2384.5663938450775
9.0,2884.519810417798,2972.4694091891192
10.0,3427.0846407890913,3510.743292790551
11.0,3881.624727690775,3956.266479098311
12.0,4231.821696891685,4295.23510715081
13.0,4485.307967471012,4536.980855784213
14.0,4660.972515843201,4701.553010395646
15.0,4779.202617107193,4810.073117569989
16.0,4857.2666445204,4880.136638303441
17.0,4908.174154256642,4924.756956578975
18.0,4941.107962884138,4952.9266206922275
19.0,4962.3050523396005,4970.612782037636
20.0,4975.903399822439,4981.678489108633
